,job_title,company,location,summary
53,"WEB DEVELOPER III, Marketing & Communications, Interactive Design",Boston University,"Boston, MA","Interactive Design ( http://www.bu.edu/id ) is the web design division of Boston University’s award-winning Creative Services group within the department of Marketing & Communications. The ID hive is always buzzing with wicked smart developers, innovative designers and colorful copywriters, all of whom have a deep knowledge and passion for BU culture.

We are looking for a Web Developer III who’ll contribute to the development and deployment of both websites built with a content management system (WordPress) and static websites. If you’re passionate, conscientious and love to innovate, test, and launch interactive projects—from large websites to editorial stories to mobile applications—this is the place for you.

What you’ll do:
You’ll work with the project team to fulfill requirements based on scope, wireframes, and design comps, optimize code within the code base, collaborate on QA testing and bug-fixing, and assist with implementation and deployment.

You’ll collaborate with other developers, designers, project managers, and photographers to build complex functionality--All while being around some really nice people.

You’ll determine appropriate tools, methods, and solutions for projects, help inform project scope, and estimate effort to inform project managers in setting project schedule and deadlines.

If you want to work with a creative team of professionals to develop engaging, results-oriented online products for high-visibility, high-priority areas of Boston University, we want to hear from you!

Required Skills


B.A. or B.S. in Computer Science or a related field, or equivalent professional experience. Three to five years of experience.
Understanding of basic computer science algorithms and data structures.
Extensive experience working with project-based teams.
Significant experience with PHP, Javascript, and the newest HTML and CSS standards.
Significant experience developing for WordPress or content management systems.
Experience with version control systems, such as Git and Subversion.
Experience with CSS preprocessors, such as Sass.
Experience with jQuery.
Experience using taskrunners, such as Grunt.
Experience contributing to or writing Wordpress plugins.
Experience producing unit testing and QA plans.

Additional Skills a Plus:

Experience working and releasing code to open-source communities.
Experience with MV* frameworks.
Extensive knowledge of the Wordpress core codebase.

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. We are a VEVRAA Federal Contractor.

Required Experience"
54,Contract UI/UX Designer,Basis Technology,"Cambridge, MA 02140","Contract UX/UI Designer
Basis Technology ( https://www.basistech.com/ ) is the leader in text analytics software components used in search, security, and big data applications around the world.

The Opportunity
Design an industry leading B2B application from the ground up. We have an exciting opportunity to leverage our deep expertise and market credibility in order to create a new product that solves critical problems for our customers. In order to capitalize on this opportunity, we are creating a new team to design, validate, and build this product. As this team proves market fit, this contract UX/UI role could turn into a full time employee opportunity.

The Role
Reporting to the product manager, you will work directly with customers, Basis Technology executives, sales teams, and engineers to craft a new enterprise web application through an iterative product development process. As the sole UX/UI designer on the team, you will deliver an intuitive user experience. This will include a modern and compelling UI through your choices of visual elements, color, spacing, and typography. You will need to quickly generate visible deliverables in order to get fast feedback as part of our agile development process.

Responsibilities


Understand User Goals, define personas, document workflows
Design the information architecture and interaction design
Create low fidelity wireframes for initial feedback sessions, followed by high fidelity wireframes
Create clickable prototypes
Create visual design elements as required for the UI developers
Collaborate with the engineering team to turn the your designs into a functioning product

Requirements


3+ years of experience leading large scale UX projects on enterprise business applications
2+ years of experience creating pixel perfect visual elements for an engineering team
2+ years of experience collaborating with engineers to convert designs into functional products
Strong visual, verbal, and written communication skills
Basic understanding of HTML, CSS, and responsive design principles
A killer portfolio with experience that matches the needs of our project

Prefered background


College degree in Design Human-Computer Interaction, Fine Arts, or Computer Science
Deep experience working with HTML, CSS, Javascript (jQuery, AngularJS), Bootstrap, and GIT

"
55,Junior Software Engineer,Worldstrides,"Boston, MA","WorldStrides is seeking a Jr. Software Engineer in our Boston office. The individual will join a highly-skilled IT organization and utilize the latest technologies to develop high-traffic websites, web services, and other software products.


About us:


WorldStrides is the nation's largest provider of educational student travel. Committed to enriching students’ lives by enhancing classroom instruction, our education-study programs range from domestic middle school programs to post-graduate international programs.


The Explorica Division provides student tours all over the world. We believe in working hard and playing hard, offering a fun, collaborative work environment with an exciting product and even more exciting benefits.


Primary Duties:

Participate in all phases of development from definition and design through implementation, debugging, testing and deployment of features across multiple subsystems within a large-scale, web-based customer-facing application.
Provide production support on new and existing products utilizing the Microsoft technology stack: C#, ASP.NET, Web API, Entity Framework, WCF, and SQL Server.
Work directly with developers, project leads and various business partners to understand and resolve issues.
Respond to production issues by conducting root cause analysis and identifying the underlying issue.
Participate in a highly talented, experienced and energetic team on a fast-paced, agile development schedule.
The successful candidate will demonstrate the following personal attributes:

Highly motivated with excellent verbal and written communication, presentation and problem solving skills


Self-starter with strong organizational, people and time management skills, self-directed and able to handle multiple priorities with demanding timeframes.


Ability to work collaboratively with colleagues and staff to create a high-quality results-driven, team oriented environment.


Desired Skills/Experience:

4 Year degree in Computer Science or similar field.
Solid understanding of object-oriented programming (OOP) and computer science foundations.
Knowledge of one or more of .NET 4 Framework, Visual Studio, C#, ASP.NET, WCF, Web API.
Knowledge of HTML5, CSS, JavaScript, JSON, JQuery, and AJAX
Familiarity with current Web UI frameworks such as Bootstrap and Foundation, AngularJS is a plus.
Understanding of SQL database design.
Ability to write SQL Queries.
Ability to quickly learn new concepts and technologies.
Knowledge or Experience with an agile methodology.
Knowledge or Experience of Unit Testing."
56,Software Engineer II - Front End UI,Skillsoft,"Boston, MA","Company

Skillsoft is the global leader in eLearning – we train more professionals than any other company in the world, over 400 million learners, and currently support more than 6000 customers, including half of the Fortune 500.
We have released our next generation SaaS platform solution – Percipio, the industry’s first immersive eLearning platform. This is the realization of our vision that brings together technology and product to build the most beautiful product possible. You will be working with us to extend our vision and enhance and improve our product. See what team members had to say about this journey – Percipio Journey
Position Overview

For this challenging journey we have set up multiple co-located teams across the globe and are embracing the Spotify agile framework and a micro-services approach combined with the DevOps model for implementation. We have teams of engineers working full-time on this new platform. We are now looking for a front end/UI engineer to join our team and work with our development squad and UX/UI team in our downtown Boston office. You will have the opportunity to work with brilliant people around the globe while working with cutting-edge technology including ReactJS, GraphQL, NodeJS, Redux, ES6, cssnext, and Apollo. You will work jointly with the UI/UX team and other engineers to design elegant front-end solutions for Percipio’s Learner platform within a CI/CD environment. You will be embedded in a squad that is building the accessible Learner Platform application.
Technology and Workflow
ReactJS, GraphQL, Redux, ES2015, JSX, Jest, Enzyme, CSS3/HTML5NodeJS, Ruby 2, Rails 5, RSpec, Elixir, Phoenix, Ansible, Postgres, Kafka, Fluentd, ElasticSearchPair programming, code review, CI, best practices, design patternsMac/LinuxAgile/Scrum, CI/CD, TDD, Business Driven Development
Technical environment
NGINX, PostgreSQL, Redis, ElasticSearch, VarnishREST, GraphQL, Apollo, Docker, Kubernetes, Vagrant / Minikube, Jenkins, Ansible, AWSGitHub Enterprise, Sentry, Kibana, Splunk, Slack, Atlassian Suite (Jira, Confluence)

Our Work Place
Downtown Boston office within walking distance of North and South stations.Experienced team with strong autonomySpotify Agile Framework, ScrumAccess to Skillsoft’s complete online learning materials
Position Responsibilities
Collaborate with delivery team members during implementation while adhering to UI architectural standards and best practices.Assist team with the design to obtain an optimal and efficient implementation in a CI/CD environmentWork with team members and UI/UX design team to provide consistent user experience with an effective, consistent implementation.Build modular, reusable components that can be leveraged across product UI.Assist with the improvement in Development and Testing practices that will lead to increased performance of the applicationCollaborate with front- and back-end developers, DevOps, and QA daily through working on a product Squad.
Desired Experience
Minimum of 3+ years of experience in web development, working on solutions for front end (NodeJS, React/Redux, GraphQL, CSS3/HTML, and Rest APIs)Understanding of UX/UI design, SaaS, and web development technologies.Demonstrable knowledge of large scale, JavaScript and React application development.Experience in developing Node.JS application or GraphQL is a big plus.Experience with using containers tools like Docker, Kubernetes, or similar.Experience with elastic logging and error reporting is a plus as well as tools for troubleshooting (sentry, New Relic, ELK stack, ElasticSearch, Kibana)Knowledge of Accessibility standards and Localization techniquesPassionate, curious, open to new ideas with the ability to pick up new technologies.Experience working as a team player in an Agile/Scrum environment.
Education and Certifications
BS Computer Science or equivalent experience preferred"
57,Software Engineer II - Front End UI,SumTotal Systems,"Boston, MA","Company


Skillsoft is the global leader in eLearning – we train more professionals than any other company in the world, over 400 million learners, and currently support more than 6000 customers, including half of the Fortune 500.

We have released our next generation SaaS platform solution – Percipio , the industry’s first immersive eLearning platform. This is the realization of our vision that brings together technology and product to build the most beautiful product possible. You will be working with us to extend our vision and enhance and improve our product. See what team members had to say about this journey – Percipio Journey

Position Overview


For this challenging journey we have set up multiple co-located teams across the globe and are embracing the Spotify agile framework and a micro-services approach combined with the DevOps model for implementation. We have teams of engineers working full-time on this new platform. We are now looking for a front end/UI engineer to join our team and work with our development squad and UX/UI team in our downtown Boston office. You will have the opportunity to work with brilliant people around the globe while working with cutting-edge technology including ReactJS, GraphQL, NodeJS, Redux, ES6, cssnext, and Apollo. You will work jointly with the UI/UX team and other engineers to design elegant front-end solutions for Percipio’s Learner platform within a CI/CD environment. You will be embedded in a squad that is building the accessible Learner Platform application.

Technology and Workflow

• ReactJS, GraphQL, Redux, ES2015, JSX, Jest, Enzyme, CSS3/HTML5

• NodeJS, Ruby 2, Rails 5, RSpec, Elixir, Phoenix, Ansible, Postgres, Kafka, Fluentd, ElasticSearch

• Pair programming, code review, CI, best practices, design patterns

• Mac/Linux

• Agile/Scrum, CI/CD, TDD, Business Driven Development

Technical environment

• NGINX, PostgreSQL, Redis, ElasticSearch, Varnish

• REST, GraphQL, Apollo, Docker, Kubernetes, Vagrant / Minikube, Jenkins, Ansible, AWS

• GitHub Enterprise, Sentry, Kibana, Splunk, Slack, Atlassian Suite (Jira, Confluence)


Our Work Place

• Downtown Boston office within walking distance of North and South stations.

• Experienced team with strong autonomy

• Spotify Agile Framework, Scrum

• Access to Skillsoft’s complete online learning materials

Position Responsibilities

• Collaborate with delivery team members during implementation while adhering to UI architectural standards and best practices.

• Assist team with the design to obtain an optimal and efficient implementation in a CI/CD environment

• Work with team members and UI/UX design team to provide consistent user experience with an effective, consistent implementation.

• Build modular, reusable components that can be leveraged across product UI.

• Assist with the improvement in Development and Testing practices that will lead to increased performance of the application

• Collaborate with front- and back-end developers, DevOps, and QA daily through working on a product Squad.

Desired Experience

• Minimum of 3+ years of experience in web development, working on solutions for front end (NodeJS, React/Redux, GraphQL, CSS3/HTML, and Rest APIs)

• Understanding of UX/UI design, SaaS, and web development technologies.

• Demonstrable knowledge of large scale, JavaScript and React application development.

• Experience in developing Node.JS application or GraphQL is a big plus.

• Experience with using containers tools like Docker, Kubernetes, or similar.

• Experience with elastic logging and error reporting is a plus as well as tools for troubleshooting (sentry, New Relic, ELK stack, ElasticSearch, Kibana)

• Knowledge of Accessibility standards and Localization techniques

• Passionate, curious, open to new ideas with the ability to pick up new technologies.

• Experience working as a team player in an Agile/Scrum environment.

Education and Certifications

BS Computer Science or equivalent experience preferred


Submit Profile"
58,Backend Engineer,Robin,"Boston, MA 02210","As a Backend Engineer, you’ll spend the majority of your time improving Robin’s API and web services, creating new products and features, and helping architect a scalable services-oriented architecture.

Our engineering team isn't married to specific technologies or languages. Choosing the right tool for the job (even if we have to learn it first) is a strong part of our team culture.

A great candidate will have knowledge of Java, PHP, Go, Node, or other common server-side languages. Knowledge of dev-ops, service-oriented architecture, queues (e.g. RabbitMQ) and databases are also a great foundation. We value a strong understanding of DDD concepts, SOLID principles, and an ability to design and build packages in a modular, scalable way.

We regularly contribute to open source, and encourage everyone on our team to do the same.

About us:

We are a group of hard-working, self-driven developers
We’re hungry to learn and we invest time in teaching each other
We encourage frequent feedback from every person on the team
We’re always looking to improve our code—we embrace the “do it right” mentality
The ability to work with multiple technologies and languages.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We are ADA compliant and handicap accessible."
59,Web Development Summer Intern,MathWorks,"Natick, MA","MathWorks is the global, leading developer of technical computing software. MATLAB™ is the de-facto technical computing environment that is accelerating the pace of discovery, innovation, and development of solutions for today’s engineering and scientific challenges.

This is a hands-on development internship position with App Designer team at MathWorks.You’ll be working closely with the development team to prototype features for App Designer in JavaScript, HTML\CSS. Your focus as a Web Development Intern will be growing your skills, developing best practices and familiarizing yourself with various web frameworks by assisting on frontend development work. This position offers you the opportunity to:

Cutting edge web application developing using HTML and JavaScript

Design modern user interface by applying UI design principles

Experience MathWorks design, specification, and development process

Learn valuable software design skills relevant to any software project Basic JavaScript, HTML and CSS knowledge

Willingness to learn MATLAB and other MathWorks products

Prior experience building GUI's is a big plus Candidates must be pursuing a master's level or a PhD level degree in a technical discipline. Web Intern using JavaScript, HTML and CSS"
60,Web Designer/Developer,SevOne,"Boston, MA 02199","Summary:


The Web Designer/Developer will support the marketing team and its digital strategy needs, including but not limited to, 
content and web design, development, formatting and maintenance. The role works closely with the Director, 
Marketing. Responsible for design, develop and maintain internal and external websites as well as marketing 
collateral on a limited basis as well as planning, production, maintenance, and SEO ensuring brand integrity of 
the site. This position also performs day-to- day content administration of the organization's web portfolio as 
well as other digital marketing projects as needed.


Essential Functions include, but are not limited to the following: (% of time): 
Reasonable accommodations may be made to enable individuals with disabilities to perform the essential 
functions.


80% 
 Manage implementation of new content and copy from SevOne contributors 
 Manage agency relationship to ensure outsourced deliverables are defined and executed effectively within 
contracted agreements and scope of work 
 Recommends innovative ideas and solutions to improve website visitors’ experience on sevone.com and 
increase their engagement, supporting ongoing sustainability, security and CMS governance. Once ideas 
approved works with Team to implement 
 Identify, recommend, and prioritize new web features and applications in conjunction with organization growing 
needs 
 Ensure a consistent look and feel across the website by promoting uniform fonts, formatting, icons, images, and 
layout, and creating appropriate templates to assist content authors 
 Work with and support integration with Drupal CMS, as well as Acquia hosting 
 Find, diagnose, and fix website problems, including broken links (both internal and external), typographical 
errors, and formatting inconsistencies 
 Assess competing websites as regards to content, look and feel, and functionality, and make improvement 
recommendations to our organization's site 
 Track and evaluate new standards, technologies and trends in website development, design, and delivery


20% 
 Responsible for developing new site theme designs; sourcing/creation of artwork for marketing 
materials 
 Design of banners, ads, other social media and landing page assets 
 Development and integration of graphical and multimedia components into the website, including audio and 
video 
 Manage issues related to DNS and site configuration, as well as domain registration for new regional or special 
event sites 
 Manage and optimize CMS for better usability, improve overall usability of CMS interface; administer website 
permissions for end users who require access to edit content 
 Provide rapid response to address site availability issues 
 Implement custom views and content types in Drupal as needed to add additional functionality to the sites 
 Monitor sites on a regular basis, visually checking all pages that have had content changes since the last site 
check, following a schedule determined based on relative importance and activity of site 
 Continually improve and develop mobile-friendly responsive css code for the current site theme 
 SEO optimization and ongoing audit, enable all sites for HTTPS 
 Regular Google Analytics reporting, heatmap analysis of pages on a rotation basis to gain insight into 
effectiveness of overall site design and effectiveness of specific pages across all sites 
 Support the ongoing maintenance and necessary development updates of the Drupal application 
 Work with IT and other department experts on hardware and software issues that affect the website and its 
availability 
 Ensure sensitive and/or classified organizational information is not inadvertently posted to the website 
 Support the integration of content into social media by developing tools that allow users to effectively share 
specific pages, features and content 
 Perform related duties consistent with the scope and intent of the position


Qualification Requirements: 
 Education: Bachelor’s Degree or equivalent


Experience: 
 3+ years of experience with web development in Drupal 
 Development experience with HTML, CSS, Javascript, jQuery, PHP and MySQL 
 Experience with computer graphic and multimedia design software (Adobe Creative Suite) 
 Experience with working in Local, Development, Staging and Production server environments


Skills: 
Required- 
 Advanced HTML markup, formatting and presentation using CSS and JavaScript skills 
 CMS platform experience 
 Must be able to rapidly fix bugs and solve problems 
 Sensitivity to browser compatibility issues 
 SEO best practices and site optimization knowledge strongly preferred 
 Solid experience monitoring, reporting and optimizing site performance 
 Proven portfolio of website creation and maintenance 
 Must be a self-starter who thrives in an extremely fast-paced work environment 
 Understanding of basic project management principles 
 Excellent written and verbal communication skills 
 Ability to present ideas in a business-friendly and user-friendly language 
 Self-motivated and directed 
 Attention to detail 
 Good analytical and problem-solving abilities 
 Ability to effectively prioritize and execute tasks in a high-pressure environment 
 Very strong customer service orientation 
 Experience working in a team-oriented, collaborative environment


Physical Demands -The physical demands described here are representative of those that must be met by an 
employee to successfully perform the essential functions of this job: 
Extensive computer use 
Due to project timelines, may require extended work hours 
Ability to work under high stress during tight project deadlines 
Ability to operate various computer systems for daily work 
Hand/eye coordination for computer work


Working Environment: General office environment"
61,Front-End Software Developer,Paint Nite,"Somerville, MA 02143","A career at Paint Nite means you’ll breathe creativity, indulge your curiosity, and drive innovation on a daily basis. As an expanding, international business with a start-up mentality, we thrive on tough challenges, encourage dynamic job descriptions, and empower every employee to make a lasting difference. Ranked the second fastest-growing company in the country on the Inc. 500 in 2016, we’re not slowing down any time soon. With a new CEO at the helm and major investments in our tech, product, and marketing teams (to name a few), we’re looking for ambitious and enthusiastic people to help make Paint Nite even bigger and better.

Paint Nite offers professional advancement opportunities, great benefits, and flexible vacation. Our brand-new 24,000 square-foot office is just minutes from the Porter Square T station and features workout facilities, a large recreational space, and an open-concept design. Paint Nite prides itself on a culture of collaboration, innovation, and community that unites employees around the common goal of growing our best-in-class company. ​

The ideal candidate is passionate and experienced in modern development strategies and frameworks. You will be working closely with the Senior Software Developer, Product, and Design. You will
Work with the newest development technologies, frameworks, and practices including ReactJs, Webpack, Babel, and GraphQL.
Work on multiple projects, meet tight deadlines, stay on top of the details and maintain the highest quality work.
Serve as a resource for other departments by providing insight into the development process. You Need
3-5 years of software development experience with Javascript MVC libraries such as React or Angular
Curiosity, Passion and Enthusiasm for learning new technologies and methods, as well as a desire to build things that delight users
To be a true team player; adept at working with multiple people at any given time
To be someone who anticipates needs before they arise
Excellent problem solving and communication skills
Organized, agile, and an obsession to achieve the highest quality Extra bonus points if you:
Have experience with ReactJS, Redux, GraphQL, or Apollo
Working experience with Git, LESS or SASS
Familiar with semantic HTML elements
Have written unit tests for web applications
Familiar with JIRA, or similar agile tracking program
Physical Demands: While performing the duties of this job, the employee is regularly required to sit for long periods of time; talk or hear; perform fine motor, hand and finger skills in the use of a keyboard, telephone, or writing. The employee is frequently required to stand; walk; and reach with arms and/or hands. Specific vision abilities include close vision, distance vision, depth perception and the ability to adjust focus. The employee will spend their time in an office environment with a quiet to moderate noise level.

WHO WE ARE Paint Nite® is invading local bars and restaurants across the US and Canada with a new way to go out, have fun, and feel good. It’s everything a great night should be—friends, drinks, and laughter. Plus, you’ll create a one-of-a-kind painting (we make it so easy!) along with the memory of a unique night out."
62,Software Engineer - Junior (Level 1),Octo Consulting Group,"Boston, MA","Our team is what makes Octo great. At Octo you'll work beside some of the smartest and most accomplished staff you'll find in your career. Octo offers fantastic benefits and an amazing workplace culture where you will feel valued while you perform mission critical work for our government. Voted one of the region’s best places to work multiple times, Octo is an employer of choice!

Octo Consulting Group is seeking a Lead Software Engineer to join our growing team.

Background:
The Targeting and Geospatial Intelligence (T&G;) program management office (PMO) develops and sustains targeting and geospatial intelligence hardware and applications encompassing the end-to-end deliberate targeting workflow cycle supporting combat air operations. The goal of the PMO is migrate our existing legacy portfolio to a more evolvable architecture that can better leverage a cloud environment in order to deliver the warfighter better technology, reduced program sustainment costs, and higher system reliability. Our approach is to transform legacy targeting applications to be cloud native and reside on a Platform as a Service (PaaS). Additionally, modernize current applications by breaking them down into loosely coupled micro-services, and leveraging a continuous integration / continuous delivery pipeline to enable an agile DevOps Strategy

Description:
Ideal candidate possesses flexibility and collaboration skills and solid technical knowledge with hands-on experience in an Agile engineering environment participating as a member of a team of full stack software engineers. Individual is able to quickly adapt to new technologies, programming languages, organizational constructs, and customer priorities and to present pros, cons, and opportunities associated with change. Candidates will have an opportunity to receive 6+ months of Pivotal Cloud Foundry training as part of the standard on-boarding process for this project.

Individual will be required to complete basic software code tasks, across multiple teams, with basic front end development a focus in this labor competency. Individual must have a firm knowledge and hands-on experience in writing software code. As a developer, this individual is responsible to maintain and improve the performance of existing software code, with duties to write and update software code under contract and direction from the assigned Government Product Manager. Ability in writing test scripts, in an agile software development environment, where built in automated test procedures are paramount and continuous integration of software and continuous delivery of software Government, is the culture. Individual shall be capable of performing the software tasks relevant to the basic contract requirements in forming and working on Government/Contractor code teams

SW Engineers shall be responsible for the development of software code. The SW Engineer may be required to perform the following tasks, as directed by the Government:

Support the Discovery and Framing process and follow-on user interviews

Perform test driven development

Perform paired programming

Perform extreme programming

Perform paired programming with Pivotal Labs SW Engineers

Refactor legacy applications into a 12 factor application SW architecture

Decompose legacy applications into a micro service architecture

Perform a technical assessment of existing legacy SW, Commercial off-the shelf (COTS) SW and/or Government off-the Shelf (GOTS) SW and recommend a technical direction of the Product Team

Perform net-new development, coding new SW to meet the user’s needs

Perform legacy application refactoring, modifying legacy application to become cloud native

Perform legacy application re-platforming, lifting and shifting legacy application into a PaaS

Develop products from discovery and framework through iterative development and delivery

Required Skills/Experience:
Associate Degree in Computer Science, Mathematics, Computer Technology.

2 years’ experience in a software development discipline to include Java, Web services, Database, or web application development.

Equivalent experience may be substituted for years of college (1 yr. for 1 yr. of college)

Experience in conducting user interviews, user observations and user surveys. Experience in building 12 factor application SW architecture. Experience with Continuous Delivery and Continuous Integration techniques delivering SW to the cloud.

Experience in test-driven development and automated testing practices.

Experience in product or graphic design.

Education: Bachelors in a Technical Discipline

Years of Experience: 2 +

Location: Boston MA.

Clearance : U.S. Citizenship Required"
63,Full Stack Developer,IMPAQ International,"Boston, MA","IMPAQ International, a growing and dynamic social science research firm, provides high-quality research and impact evaluation services, policy analysis, survey research, technology solutions, organizational development, technical assistance and consulting services to U.S. and international government agencies, foundations, and the private sector. IMPAQ’s mission is to bring together exceptional people to develop innovative and rigorous approaches to evaluate the real-world impact of social policies and programs. IMPAQ offers four locations: our Corporate Headquarters in Columbia, Maryland, rated one of America’s Best Small Cities; Downtown Washington, D.C., Boston, Massachusetts and a Bay Area office in Oakland, California. IMPAQ has a diverse and collegial work environment and is an Equal Opportunity/Affirmative Action Employer (M/F/Disability/Veterans).
Responsibilities
IMPAQ is seeking a full-time Developer who is highly proficient at independently developing data-driven web applications that are intuitive, easy to use, and accessible via mobile devices. Selected candidate will have excellent communication skills and experience with responsive design and the ability to deliver functioning applications that visually meet the business requirements, satisfy design aspects, and have reuse value for future development. The ideal candidate will be proficient in all tiers of web development using HTML5, JavaScript, CSS3; toolkits such as Node.JS, jQuery, Prototype, backbone, Angular, and Bootstrap; data visualization tools such as HighCharts and D3.js; and have demonstrated experience designing and implementing web applications that support:
Administrative, clinical, and/or survey data transmission, ingestion, and storageCalculation and analysis of performance and/or quality measuresDisplay and manipulation of performance metrics and/or quality measure results using
 combinations of interactive dashboards, visualizations, reports, and structured data exports

Responsibilities
Build web-based data collection and analytic tools across multiple domains including Health, Labor, Human Services, Education, and International Development.
Come up with innovative solutions for large-scale performance and quality measurement efforts.
Implement online predictive analytics tools for government and commercial clients.
Implement, deploy, and maintain analytic systems for data collection purposes and provide access to the collected information via a visually appealing user interfaces.
Use open source platforms for intuitive data visualization and GIS solutions.
Qualifications
Education

Bachelor’s Degree in Computer Science, Software Engineer, or a related field required

Knowledge and Experience

3+ years of hands on experience with full stack web design and development
Experience with object-oriented design and employing technologies, including Ruby on Rails (RoR), Node.JS/Express, or AngularJS as well as JavaScript, HTML5, CSS3, or Bootstrap/Foundation
Strong web and mobile application development including experience with relational database systems, including MySQL, Oracle, or SQL Server
Experience building popular high-traffic digital services
Experience using automated testing frameworks
Experience with modern development and operations (DevOps) techniques like continuous integration and continuous deployment
Experience securing digital devices
Experience with NoSQL databases, including MongoDB, Cassandra, or CouchDB
Working experience of IaaS and PaaS Cloud environments, including AWS and/or Azure
Experience with geospatial data and integrating with GIS tools such as ArcGIS or open source equivalents a major plus
Experience with .NET and/or Java development a major plus

Skills
Development experience with view technologies – HTML5, JavaScript and JavaScript MVC Framework (e.g. Backbone, Angular, Ember), CSS, JQuery, Prototype, AJAX, JSON
Web development experience working in IDEs like Eclipse; demonstrated experience working in source control tools like Github
Strong organizational, visual design, layout, and graphic design skills with attention to detail
Strong understanding of web design conventions and best practices
Demonstrated experience working in an Agile / Scrum environment
Strong analytical and organizational skills
Good oral and written communication skills
Ability to quickly learn new technologies and work in a collaborative team environment
Preferred: Familiarity with health informatics and coding standards including ICD9, ICD10, CPT, LOINC and HL7 Documents."
64,Full Stack Software Engineer,Brainshark,"Boston, MA 02108","Are you an experienced Microsoft stack developer who is looking for a new challenge working with some of the most cutting edge technologies like .Net Core, Azure, Angular 2, and Typescript? We’re looking for a seasoned Engineer whose strengths lie mainly in backend C# .Net development but also has experience developing in JavaScript or another front end framework. Brainshark is making a commitment to Angular 2 using Typescript and we are looking break the front-end/back-end paradigm by training all Engineers on the full stack.
Brainshark is on a journey to Azure and we’ve already made significant strides in Azure adoption but we have more work to do. We are looking for enthusiastic and creative developers who already “get it” and understand how to develop distributed applications in Azure using a modern micro-services approach.
You will work in a small fully cross-functional DevOps scrum team working on developing both new functionality as well as helping to migrate and re-architect existing functionality in a cloud native way.
Are you psyched to work on some cool projects alongside some cool people in an innovative and dynamic work place? This role may be right for you.
RESPONSIBILITIES:
Develop new application functionality in C#/.Net, MS SQL, Azure DocumentDB and other Azure friendly languages.
Develop front-end functionality in Typescript using the Angular 2 framework.
Help re-architect and implement existing Brainshark functionality in a cloud native way in Azure.
Participate in the Agile Scrum process and be prepared to deliver stories on time.
Participate in architecture meetings to collaboratively determine the best way to architect solutions to complex product requirements.
Work closely with the embedded Release Engineer(s) to ensure a reliable continuous delivery pipeline is part of all deliveries.
Work closely with embedded OPS to ensure that all code deliveries are properly monitored, measured and easy to troubleshoot.
MINIMUM QUALIFICATIONS:
Bachelors in Computer Science, or related engineering field
Proven experience with C#, SQL, and Web Services (RESTful is a plus)
Experience or understanding of JavaScript frameworks such as Angular, Angular 2, Backbone, React, etc.
Proficient with JIRA, JIRA Agile, Confluence, and other agile team productivity tools
Experience working in Agile/Scrum teams
Able to work comfortably with technical staff as well as business and non-technical individuals
Desire to mentor, teach and lead teams
Great attitude with a sense of humor
Strong command of written and spoken English
Ability to work in the US without visa sponsorship
Preferred:
Experience in Typescript
Experience with Ionic/Ionic 2
At least one full cycle of development in an Agile environment with SCRUM
Experience working with an HTML5, CSS, and JavaScript front-end (ex:backbone, jsrender, requirejs, jquery)
Exposure to CSS precompiler (ex: SASS or LESS)
Design Patterns and Object Oriented Design
Experience with testing frameworks (ex: unit testing with NUnit)
Exposure to mobile development
Familiar with code review process
Please note, we are not accepting third party applicants at this time
We aren't offering sponsorship for this role
About Brainshark:
Brainshark sales readiness software equips businesses with the training, coaching and content authoring capabilities to achieve sales mastery and outsell the competition.
With Brainshark, companies can: prepare sales teams with on-demand training that accelerates onboarding and keeps reps up-to-speed; validate readiness with sales coaching that ensures reps master your message; and empower sales organizations with rich, dynamic content that can be created quickly and accessed anywhere.
Thousands of companies – including more than half of the Fortune 100 – rely on Brainshark to identify and close performance gaps, and get better results from their sales enablement initiatives. Learn more at www.brainshark.com."
65,Software Developer Intern,Go Ahead Tours,"Cambridge, MA","Software Developer Intern
"
