,id,url,location,job_title,company,summary
10,10,http://www.indeed.com/rc/clk?jk=cef181149d2ff078&fccid=eb8d7848e0cba37b&vjs=3,"Honolulu, HI",Web Developer,Wall-to-Wall Studios,wall to wall studios w|w is looking for a web developer to fill an immediate full time position in our honolulu office. sorry no relocation package is provided. we're a creatively driven branding agency in a fast paced collaborative environment focused on delivering innovative effective work. the candidate's primary role is to lead web development and oversee multiple technical projects for clients while simultaneously being a hands on contributor within the agency. our technology stack includes various javascript frameworks including react and angular ruby on rails mysql git and more. our design and development philosophy is responsive and mobile first by default. among the wide gamut of web based projects on our docket we also maintain a rails based cms built in house and tailored to our clients' needs. this is a position in which self starters and people passionate about the web will thrive. responsibilities interact with clients meetings filtering feedback and presenting jaw dropping work. be a team player from beginning to end collaborate from initial concepts to production ready website. front end development proficient use of legacy and modern html css and javascript to craft beautiful and usable interfaces. knowledge in things like flexbox css grid and styled components are a big plus. back end development develop high quality web applications while improving and maintaining an existing mvc code base in ruby on rails. server administration deploy websites and applications into a linux environment. fine tune and improve server architecture with benchmarking and load testing. planning take part in creating the foundations of the various websites we work on by creating site maps wireframes and content guides to keep everyone involved on the same page. communication effectively communicate technical details to non technical team members and clients. must be able to give explanations in a compelling articulate and occasionally comedic manner via email. the ideal candidate will be well versed in object oriented programming. have intermediate to expert level skills in modern web development environments involving rails javascript based frameworks a grasp on modern css usage and bringing all of these together care about building well designed user centric software be an advocate of user experience interface design and web standards. excel in an open fast paced work environment loves to write tests to maintain a codebase with a team of several people have a grasp on front end coding trends and work with the design team to create engaging responsive solutions. be able to navigate a linux based system most likely ubuntu to help provision and maintain servers. have experience creating websites and applications in the technologies listed below and possess an insatiable desire to learn more. experience in the following a plus mastery of a javascript framework react angular etc. ruby on rails wordpress and other open source cms platforms sass postcss mysql apache nginx git github linux system administration acceptance testing and behavior driven development front end development trends including responsive design perks include a top of the line development setup great learning and collaborative environment diverse range of clients and assignments benefits including medical dental and vision an awesomely creative and inspiring hawaii based studio workspace in an urban loft environment about us wall to wall studios walltowall.com is an award winning multidisciplinary creative branding agency. founded in 1992 we are a boutique strategic firm located in honolulu hi and pittsburgh pa. our work spans many industries and our clients are just as diverse big small and in between; local regional and national. we have experience representing the full emotional and aesthetic spectrum. as an independent agency we work closely with our clients to produce smart branded experiences with consistent targeted messaging that reinforces strong customer relationships. our marketing initiatives create awareness build brands drive acquisitions and identify customer behavior delivering real results to our clients. we get a lot of resumes sent our way so please just show us your best stuff. we're always interested in meeting creative smart talented dedicated team players with a sense of humor. hey... maybe that's you. wall to wall studios inc. is an eeo aa employer principals only. recruiters please don't contact this job poster.
11,11,http://www.indeed.com/rc/clk?jk=8f10fcf76834dcba&fccid=59836210faca2c9f&vjs=3,"Raleigh, NC",Website Construction (entry-level),Webstreak,the jr. web developer is responsible for the construction and daily maintenance of our clients’ responsive websites. this position collaborates directly with the website development team on the account executive’s behalf with the client’s interests in mind. this role encourages you to develop and or enhance your communication skills as you continue to build relationships with the account team. jr. web developers aid in the process of website creation including but not limited to creating a website using our platform building content pages at the account executive’s request maintaining the website in accordance to manufacturer requirements honda volvo mazda etc. making content and stylistic changes using html css and more. with this position comes the opportunity to explore different skill sets including front end development client facing interactions full stack development etc. the working environment is focused but relaxed giving way to an increase in responsibility as is needed. a jr. web developer works in close proximity with the web team members resulting in the ideal platform for idea sharing and consultation on upcoming projects and issues. salary range $34 000 $38 000
12,12,http://www.indeed.com/rc/clk?jk=af36a42ffcc0d277&fccid=d418796dfe5625c9&vjs=3,"Washington, DC",Front-End Web Developer,agencyQ,agencyq is looking for a talented and experienced junior front end developer to join our growing team in washington dc. qualified candidates will have at least 1 3 years of experience working with front end web technologies. duties implement amazing web content create web interfaces widgets rich clients and other front end components html5 css3 and javascript work closely with other engineers and user interface designers to identify fast and creative solutions optimize pages for cross browser and cross platform compatibility implement fully responsive designs correct any issues with css and troubleshoot for potential bugs create fast & efficient code requirements strength with frameworks such bootstrap foundation or an equivalent expertise with javascript such as jquery angularjs react familiarity with css precompilers sass preferred familiarity with other build tools such as gulp grunt or webpack familiarity with 508 compliance a plus familiarity with version control such as git or an equivalent experience with seo and implementing web ui elements such as favicon suites
13,13,http://www.indeed.com/rc/clk?jk=5019a77b66f5b182&fccid=aabb4a5b37ebb585&vjs=3,"Millwood, NY",Mavis Discount Tire – Front End Web Developer,Mavis Tire Supply,mavis discount tire front end web developer we are looking for a talented self motivated individual to join our developer team on site at our millwood ny corporate offices. about the position of front end web developer the ideal candidate will help the company redesign and maintain our cross platform website by enhancing functionality efficiency usability and the customer's web site experience. the ideal candidate will have front end and back end development integration experience. you'll be required to have experience in graphics layout html5 javascript css .net and sql. best practices and design methods will be utilized to ensure the success of the projects. duties and responsibilities develop cross browser platform html5 css and javascript to match design specs for complex page layouts while adhering to code standards writing sql queries assist in debugging and resolution of issues found during the implementation. maintaining our current website and developing a complete new ecommerce website write well structured reusable code create engaging user experiences both visually and via code create clean organized page layouts for displaying information follow industry best practices proficient in testing troubleshooting and problem solving qualifications to be eligible for the position of front end web developer you must be at least 18 years of age; be legally authorized to work in the united states; possess a bachelor's degree 3 5 years' experience with frontend development advanced understanding of htm5l css sql javascript detailed knowledge of ms sql server sql strong communication both written and verbal experience with .net platform asp.net c# vb.net html5 & css javascript & ajax javascript jquery json experience with integrating social media apis facebook instagram etc. good understanding of seo principles employee benefits at mavis we understand that our people drive our success. we provide our team members with competitive weekly pay a good working environment and an excellent combination of additional benefits like health and dental insurance a 401 k retirement savings plan with employer match paid vacations paid personal and sick time paid holidays on the job training and opportunities for career growth and advancement. mavis discount tire is an equal opportunity employer consistent with our commitment to the principal of equal employment opportunity for all individuals we enforce a zero tolerance policy on discrimination at mavis. employment decisions are made without regard to an applicant's or employee's actual or perceived membership in any category or status protected by applicable federal state or local law. where appropriate mavis may provide reasonable accommodation in order for an otherwise qualified individual to perform the essential functions of the position.
14,14,http://www.indeed.com/rc/clk?jk=9ae47a16bc5de5e5&fccid=51a57c3eb5f73ece&vjs=3,"Austin, TX",Web Developer,thoughtbot,we're looking for an experienced rails developer to join our team. build great products while contributing to our community with open source writing speaking events and more. in addition to solid software development skills we're looking for someone with an interest in business development and consulting. the person who we're looking for will help us continue to build out our texas office requirements thoughtbot web developers are able to rapidly build high quality ruby on rails applications fully test driven. well qualified candidates have an excellent knowledge of html css javascript sql unix deployment performance debugging refactoring design patterns and other programming practices. while rails experience is a must we're also rapidly expanding our work into other languages and frameworks such as go haskell clojure elixir phoenix python angular and ember. experience or interest in these technologies is a big plus. candidates will also have experience with consulting and have a proven track record of attracting potential customers. benefits we like to keep ourselves happy while we work. here at thoughtbot there’s stellar vacation time and fully stocked offices with everything from klondike bars to neat little notebooks. our team works in a relaxed and educational environment to develop excellent products for our clients. we work a sustainable pace of 40 hours week consulting for clients four days week. we also like to learn. everything we do is predicated on having a great team and a culture of growing. we use the latest technologies and are always down to try new methods on both internal and client projects. investment days on fridays we have “investment time” when we learn new tools and techniques work on open source create new products write blog posts and try to make ourselves each other and the community better. always learning we pay 100% of expenses if you speak at conferences and 50% of the cost for attendees. we also have a 2 day hackathon at the end of every year. stay fresh we offer 25 paid vacation days and 11 paid holidays per year in addition to paid sick days. new parents receive at least 6 weeks paid parental leave in all locations as well as the ability to take up to 6 months off. healthcare + financial for full time u.s. employees we pay 100% of medical dental vision and life insurance premiums plus we have a comprehensive 401k plan.
15,15,http://www.indeed.com/rc/clk?jk=66d411a0673a6aa5&fccid=734cb5a01ee60f80&vjs=3,"Redmond, WA",Web Developer,Microsoft,the microsoft docs https docs.microsoft.com team is seeking a web developer with a focus on front end and user experience development. if this is you you’ll join us in our effort to create extraordinary experiences for our technical audiences. you are passionate about web development the right user experience and building big systems that can handle a lot of traffic. you’re opinionated in the way things should be built and the processes by which we should get there but your opinions are built on a respectable foundation of experience. additionally you have the demonstrated ability and prowess to navigate cross organizational boundaries to build positive relationships with other engineering teams. you are not afraid to get in to the details with homegrown platforms and applications and find their place in our workflow. in this role you will work closely with partners in ux & ui design content publishing product management and engineering to develop experiences for customer facing web properties and applications using core web technologies html css and javascript . develop and foster strong relationships with developers on teams across the company to collaborate on experience development. seek opportunities in our day to day workflow to improve quality and efficiency from planning to deployment. document your processes and workflow in sharable documents for future reuse and adoption. use your experience with a broad range of technology stacks platforms and workflow tools to do your best most efficient work and teach others to do the same. requirements at least 3 years development experience writing and reviewing code daily in a team environment. preferred experience experience with c++ c# or java contributions to the open source community. experience working with a number of content publishing platforms wordpress craft cms expression engine etc. . deep experience with html css and javascript.experience writing css and javascript that is part of a larger site or application experience developing web content that is semantic and fully accessibility compliant experience with responsive web designexperience with browser testing and device testing all your work. experience in distributed version control system e.g. git solid understanding of command line tools.presentations and or published material to the web mobile development community. experience with unit tests and automated testing microsoft is an equal opportunity employer. all qualified applicants will receive consideration for employment without regard to age ancestry color family or medical care leave gender identity or expression genetic information marital status medical condition national origin physical or mental disability political affiliation protected veteran status race religion sex including pregnancy sexual orientation or any other characteristic protected by applicable laws regulations and ordinances. if you need assistance and or a reasonable accommodation due to a disability during the application or the recruiting process please send a request to askstaff@microsoft.com. #apexawesomejobs #apexawesomejobseng
16,16,http://www.indeed.com/rc/clk?jk=97fa533be54f5744&fccid=dd616958bd9ddc12&vjs=3,"Santa Clara, CA",Front-End Web Developer (2017 Summer Intern),Overseas Credit,department tech location santa clara ca usa responsibilities develop and maintain new user facing features build reusable code and libraries for future use ensure the technical feasibility of ui ux designs assure that all components are quality controlled before submitting to server collaborate with other team members and directors conduct ongoing user testing to optimize customer experience skills & qualification basic understanding of web markup including html5 css3 basic understanding of server side css pre processing platforms such as less and sass good understanding of client side scripting javascript and jquery good understanding of php wordpress mysql databases and python is a plus understanding of mysql databases is a plus basic knowledge of image authoring tools to be able to crop resize or perform small adjustments on an image. familiarity with tools such as gimp or photoshop is a plus requirements at least junior standing in cs related major of study design background is a plus strong analytical thinker strong verbal and written communication skills ability to work effectively with and influence cross functional partners high energy positive attitude
17,17,http://www.indeed.com/rc/clk?jk=6e27120a6149b520&fccid=ffd98152d5e973b6&vjs=3,"Clifton Park, NY",Web Developer,Kitware,job description kitware is actively seeking a talented web developer to join our team of software engineers supporting scientific government and commercial customers. kitware collaborates on a multitude of basic and applied research and development projects. our collaborators include the top universities from around the world national research labs medical device manufacturers car manufacturers oil and gas companies financial institutes and many others. the projects range from extending our open source c++ libraries and applications such as vtk paraview and cmake to developing proprietary domain specific vertical applications for a wide array of platforms including web and mobile devices. by joining our team you will participate in a dynamic work environment with exceptionally talented and friendly coworkers who are committed to high quality development practices. the ideal candidate will collaborate with our distributed research and development engineering team as well as external collaborators and customers to design and implement new features and fix bugs for our platforms and web applications contribute to the overall architecture design of web applications maintain scalability code integrity and usability of applications participate in our team’s software quality assurance practices work concurrently on multiple projects for a variety of customers be an excellent communicator with both local and remote teammates qualifications bachelor’s degree in computer science or related area plus 3 5 years experience in web development preferably in a technical software industry or equivalent amount of education and experience highly experienced with frontend programming with modern javascript strong knowledge of modern html and css proficient experience using modern javascript libraries and frameworks such as react and vue ability to build secure web applications that protect against common attack vectors knowledge of software development methodologies and code versioning tools such as git continuous integration and software testing experience with responsive design that works in both desktop and mobile environments is a plus experience with any of the following is a plus web ui ux design geospatial or data visualization python programming geospatial analytics databases company description founded in 1998 kitware is a leader in the creation and support of open source software and state of the art technology and is one of the fastest growing software companies in the country. kitware leverages its diverse technical expertise to provide advanced custom solutions for a host of complex technical problems. kitware’s mission is to advance the frontiers of understanding by developing innovative open source software platforms and integrating them into research processes and products. additional information kitware team members enjoy a small company environment flexibility in work assignments and high levels of independence and responsibility. besides a great work environment our comprehensive benefits package includes a generous compensation plan flexible working hours six weeks paid time off 401 k health insurance life insurance short and long term disability insurance and free coffee drinks and snacks. candidates that have a strong preference should indicate their preferred office location somewhere in their cover letter or resume. available offices include clifton park ny; carrboro nc; arlington va; or santa fe nm. please visit www.jobs.kitware.com to view other kitware positions you may be interested in and learn more about what we have to offer. kitware actively subscribes to a policy of equal employment opportunity. all qualified applicants will receive consideration for employment without regard to race color religion national origin sex age protected veteran status uniformed service member status or any other characteristics protected by applicable law.
18,18,http://www.indeed.com/rc/clk?jk=4d915b51f2e30e9b&fccid=c0e7e1062f8fa6f6&vjs=3,"Washington, DC",Internship - Web Developer,Evans & Chambers Technology,are you looking for a competitively paid it internship that will challenge you and provide real opportunities to apply the it skills that you are learning in college ec technology is seeking local technical individuals with a software development background to work as interns. as an ec intern you will gain valuable web development experience in a corporate environment and will prepare you for a top notch job after graduation. major responsibilities web development interns will support various internal and r&d; efforts sponsored by ec technology. you will work closely with management and other team members to turn project requirements into production ready code modules. interns must always represent the utmost in professionalism and engagement with every interaction and represent evans & chambers with a positive results oriented mindset. technologies you may work with include html5 css javascript jquery php java wordpress twitter bootstrap and various web application servers and linux operating systems. knowledge skills and abilities us citizenship required experience with web development html javascript css required. prior knowledge of jquery strongly preferred. education and hands on experience programming with at least one object oriented programming language c c++ c# java basic familiarity with content management systems cms preferred. working understanding of various software development lifecycles sdlc methodologies. great written and oral communication skills. ability to work at ec technology headquarters located near in the shaw neighborhood is desired residency in a hub zone is required. to determine if you reside in a hub zone visit http map.sba.gov hubzone maps get on board evans & chambers is a progressive it solutions provider located in washington dc. we offer excellent salaries and benefits in a fun and energized work environment. we are committed to rewarding goal oriented professionals who enjoy meeting challenges head on. http www.evanschambers.com
19,19,http://www.indeed.com/rc/clk?jk=d918e8d52cc239be&fccid=32c14833a00b7ac8&vjs=3,"Atlanta, GA",Web Developer,Marketing Eye,marketing eye atlanta is seeking a highly skilled full time front end web developer to join our digital team. the position is open to a candidate with up to date knowledge of the web industry and is able to develop custom html5 css3 websites for integration with content management systems cms such as joomla and wordpress. the position is ideal for someone looking to work on challenging commercial projects while working in a creative and friendly team environment. a bit about marketing eye marketing eye is one of atlanta’s leading marketing consultancy company for small to medium sized businesses. we help businesses achieve exponential growth through a combination of strategic marketing initiatives generating leads and nurturing them all the way to a sale while establishing a prominent brand presence that exists long after the sale. our office is conveniently located in atlanta tech village. requirements mandatory requirements minimum 2 years commercial industry experience advanced front end coding ability in html5 and css3 demonstrated responsive web design rwd development experience experience with wordpress and joomla cms high literacy and verbal communication skills desirable proficient in using adobe photoshop advance integration ability with both joomla and wordpress cms experience working with other cms platforms i.e. magento and drupal experience with php coding available for an immediate start experience with website hosting good to know understanding of linux apache mysql and php experience with mobile app development
